student_id,tenth_percentage,twelfth_percentage,cgpa,active_backlogs,aptitude_score,coding_score,dsa_score,dbms_score,os_score,oops_score,sql_score,python_score,communication_score,projects_count,project_quality_score,certifications_count,internship_count,hackathon_count,mock_interview_score,learning_hours_per_week,placement_status,company_track
S00042,80,79,9.51,0,87,29,86,37,53,27,59,61,60,4,25,3,1,1,78,7,1,Service_Ready
S00043,91,87,5.53,0,89,23,94,81,81,43,74,28,22,2,50,7,0,3,43,32,0,Not_Placed
S00044,60,56,8.09,2,98,25,70,81,76,85,98,94,27,1,70,4,1,1,87,20,0,Not_Placed
S00045,74,87,8.81,0,20,33,83,57,56,30,96,22,52,5,69,7,1,4,42,11,0,Not_Placed
S00046,56,67,8.58,0,82,92,36,28,94,34,43,57,54,5,68,4,1,3,69,15,1,Service_Ready
S00047,65,63,6.42,0,20,59,83,41,79,83,91,30,33,3,49,2,0,4,24,20,0,Not_Placed
S00048,68,80,9.59,0,61,37,59,91,58,33,51,70,57,0,42,0,0,0,85,15,1,Service_Ready
S00049,94,94,8.31,0,25,86,26,70,91,61,83,34,48,0,46,3,0,5,76,34,0,Not_Placed
S00050,91,81,8.85,0,85,29,24,93,57,32,50,66,71,7,34,7,0,4,66,5,1,Service_Ready
S00051,66,56,5.55,0,55,55,45,62,46,88,39,30,93,7,57,5,3,1,65,13,1,Service_Ready
S00052,80,67,6.13,0,79,62,95,87,24,56,91,50,28,5,70,7,0,5,30,24,0,Not_Placed
S00053,55,91,9.93,1,73,76,20,82,73,74,59,34,40,6,92,4,0,1,71,27,0,Not_Placed
S00054,95,89,7.29,0,94,57,21,26,53,36,62,78,70,5,43,8,2,3,89,25,1,Service_Ready
S00055,87,83,8.11,0,47,68,90,68,39,82,80,68,90,0,32,6,2,2,75,20,0,Not_Placed
S00056,86,84,6.36,0,49,35,59,38,37,20,97,66,85,5,57,2,2,3,20,9,0,Not_Placed
S00057,83,93,8.89,0,53,74,51,69,26,27,84,76,86,7,78,7,1,0,86,34,1,Service_Ready
S00058,82,62,5.95,0,97,51,65,35,87,56,73,33,74,7,26,9,2,0,42,22,1,Service_Ready
S00059,73,73,8.12,0,21,20,66,88,39,30,21,86,31,3,24,4,1,5,28,23,0,Not_Placed
S00060,78,71,9.41,0,33,28,59,85,44,92,41,23,45,1,48,1,2,4,94,7,0,Not_Placed
S00061,72,75,9.17,0,53,36,56,44,95,46,76,50,25,2,59,1,3,4,72,8,0,Not_Placed
S00062,64,71,7.38,0,65,83,21,73,84,70,72,55,45,4,40,7,2,3,78,25,0,Not_Placed
S00063,76,59,7.68,0,39,81,92,45,85,92,92,59,36,0,80,7,1,0,58,4,0,Not_Placed
S00064,91,84,5.52,0,63,78,68,80,36,93,76,74,66,3,81,7,2,4,99,7,1,Service_Ready
S00065,62,79,9.57,0,78,45,45,66,51,29,35,90,36,6,45,4,1,1,26,15,0,Not_Placed
S00066,69,61,6.84,2,78,58,37,78,36,33,50,43,79,4,22,4,2,1,74,24,1,Service_Ready
S00067,93,69,9.12,0,44,32,52,35,61,85,74,61,53,5,32,1,3,2,58,30,0,Not_Placed
S00068,83,70,9.43,3,29,49,44,24,84,68,22,64,33,7,49,1,3,1,81,26,0,Not_Placed
S00069,55,69,7.42,0,87,31,78,56,80,62,89,58,75,6,65,7,2,5,96,26,1,Service_Ready
S00070,61,58,6.54,2,82,73,93,76,60,22,25,24,24,5,66,6,0,0,39,19,0,Not_Placed
S00071,71,78,9.54,0,32,92,87,33,30,75,86,48,28,2,44,1,3,1,28,16,1,Product_Ready
S00072,94,79,7.98,0,98,57,91,24,67,37,89,56,79,7,96,4,0,0,59,33,1,Service_Ready
S00073,83,57,7.07,0,96,52,25,38,99,59,78,78,67,0,32,8,0,1,82,28,1,Service_Ready
S00074,92,61,9.47,2,50,42,61,29,51,72,49,58,50,1,21,6,1,4,65,28,0,Not_Placed
S00075,95,71,6.02,0,83,54,89,49,90,93,82,47,79,6,56,5,3,3,87,28,1,Service_Ready
S00076,71,66,5.8,0,84,41,69,33,83,66,48,95,55,2,71,6,0,2,52,7,1,Service_Ready
S00077,69,86,8.97,0,45,65,48,23,32,58,34,48,48,2,51,1,2,5,41,12,0,Not_Placed
S00078,81,57,9.78,0,40,66,99,78,25,38,76,88,22,2,20,9,3,5,34,26,0,Not_Placed
S00079,78,66,8.03,0,46,91,79,65,36,72,27,98,46,5,69,3,2,2,83,25,1,Product_Ready
S00080,57,74,9.08,0,97,90,36,28,57,67,79,82,21,7,91,0,3,4,37,31,0,Not_Placed
S00081,72,85,8.75,0,52,60,27,30,70,60,36,95,65,7,98,5,1,3,39,34,1,Service_Ready
S00082,64,94,5.54,0,21,52,96,49,52,96,45,41,85,5,65,9,1,1,63,12,0,Not_Placed
S00083,57,60,8.18,0,51,60,95,27,91,69,81,81,26,2,99,3,1,1,41,27,0,Not_Placed
S00084,57,95,6.24,0,31,31,32,44,64,38,74,64,27,4,72,6,3,2,63,19,0,Not_Placed
S00085,60,72,8.44,0,75,78,22,47,93,54,80,73,82,6,26,0,1,4,50,25,1,Service_Ready
S00086,74,91,7.06,0,39,79,43,69,68,70,55,85,98,1,55,5,2,1,77,13,0,Not_Placed
S00087,57,72,8.34,0,45,27,61,63,33,97,21,56,88,5,60,5,3,4,33,26,0,Not_Placed
S00088,74,56,5.93,0,47,85,54,24,84,59,95,75,55,4,42,9,2,5,33,17,0,Not_Placed
S00089,64,83,7.02,1,20,24,39,27,62,95,20,76,83,5,47,8,2,4,66,13,0,Not_Placed
S00090,91,82,9.39,0,80,39,97,21,92,56,39,45,48,0,54,5,0,4,78,6,0,Not_Placed
S00091,87,68,8.6,0,62,69,48,76,58,75,62,69,42,3,57,3,2,5,64,17,0,Not_Placed
S00092,96,62,9.86,0,27,48,24,66,53,84,74,62,93,5,36,9,3,0,95,28,0,Not_Placed
S00093,62,79,8.6,0,38,50,99,33,72,67,88,81,85,1,83,5,2,0,52,26,0,Not_Placed
S00094,67,63,5.91,0,94,87,23,38,89,32,42,94,20,7,73,6,0,4,34,2,0,Not_Placed
S00095,66,61,8.04,0,52,68,54,63,30,91,97,93,85,5,28,2,0,1,91,3,1,Service_Ready
S00096,60,82,5.62,0,31,24,67,56,98,63,34,62,67,6,89,1,3,2,62,22,0,Not_Placed
S00097,77,97,5.53,0,34,44,55,94,70,34,87,40,32,5,38,1,1,4,87,28,0,Not_Placed
S00098,83,82,7.93,0,55,49,37,21,68,96,23,94,26,6,93,6,0,0,61,21,0,Not_Placed
S00099,58,61,9.17,0,64,66,32,41,40,28,45,28,34,1,61,7,3,0,45,28,0,Not_Placed
S00100,91,58,6.74,1,79,58,93,37,38,55,93,74,88,6,68,2,3,1,52,22,1,Service_Ready
S00101,71,76,5.61,0,90,51,30,29,92,97,96,76,44,1,83,2,2,4,37,4,0,Not_Placed
S00102,96,93,8.76,0,43,79,65,38,87,61,51,58,55,7,55,2,0,0,89,5,0,Not_Placed
S00103,67,56,8.51,0,51,40,27,91,69,86,63,77,22,5,89,1,2,3,21,18,0,Not_Placed
S00104,89,88,7.51,0,41,63,77,55,88,96,50,66,74,7,81,8,2,3,36,17,0,Not_Placed
S00105,66,62,9.08,2,42,24,84,49,40,89,41,91,51,0,35,5,3,1,33,34,0,Not_Placed
S00106,77,56,7.21,0,92,84,94,86,71,81,42,45,87,1,74,5,2,5,62,16,1,Service_Ready
S00107,76,91,7.26,0,68,61,57,64,54,49,49,97,25,2,99,6,3,5,92,16,0,Not_Placed
S00108,75,89,6.28,0,97,39,29,44,85,44,73,52,55,6,33,0,1,5,71,4,1,Service_Ready
S00109,89,95,9.21,0,27,40,87,44,98,87,64,79,31,7,32,3,1,4,79,7,0,Not_Placed
S00110,86,83,5.58,0,42,50,24,53,29,21,30,69,50,7,98,8,2,2,28,22,0,Not_Placed
S00111,63,82,6.86,0,99,35,23,23,59,36,71,71,55,3,57,6,1,4,82,8,1,Service_Ready
S00112,81,82,7.67,0,24,74,21,81,40,98,40,29,77,7,58,4,0,4,72,19,0,Not_Placed
S00113,91,86,7.7,0,79,30,82,40,71,74,45,87,53,3,71,5,1,4,61,14,1,Service_Ready
S00114,95,71,8.46,2,21,79,67,48,29,77,79,40,47,2,53,7,2,5,91,16,0,Not_Placed
S00115,71,77,7.83,0,51,63,84,27,96,91,62,20,70,7,43,0,0,3,40,32,1,Service_Ready
S00116,90,65,9.87,2,47,70,77,24,24,27,83,29,57,6,27,7,0,0,85,16,0,Not_Placed
S00117,57,90,8.27,1,60,81,29,40,55,31,21,32,72,7,35,1,2,1,34,18,1,Service_Ready
S00118,94,72,6.51,0,78,97,41,49,63,51,70,65,40,2,51,6,2,0,31,19,0,Not_Placed
S00119,75,67,6.49,3,65,26,42,94,41,41,48,32,21,4,98,3,2,1,98,24,0,Not_Placed
S00120,78,67,7.36,1,75,22,82,38,42,48,49,58,44,7,27,9,1,0,24,4,0,Not_Placed
S00121,55,58,5.95,0,29,40,65,46,85,60,32,28,55,5,77,5,3,0,97,15,0,Not_Placed
S00122,88,74,6.97,0,89,75,77,23,23,39,29,43,45,4,73,7,2,4,93,5,1,Product_Ready
S00123,74,71,8.15,0,33,22,99,77,74,23,43,53,49,1,38,2,0,5,41,25,0,Not_Placed
S00124,66,84,9.92,0,83,38,67,64,74,74,37,82,66,2,76,5,0,0,36,7,1,Service_Ready
S00125,58,74,9.04,0,89,66,97,94,28,35,88,80,29,1,22,0,1,5,89,18,0,Not_Placed
S00126,73,96,9.34,0,88,83,56,68,40,93,83,24,89,1,23,6,2,1,54,2,1,Service_Ready
S00127,78,90,8.94,0,79,79,76,50,43,55,49,43,49,5,26,2,2,3,33,11,1,Product_Ready
S00128,70,70,8.92,0,96,89,63,92,64,75,76,40,87,1,52,6,1,1,51,12,1,Service_Ready
S00129,74,78,8.02,2,61,45,33,76,56,77,40,88,22,6,56,7,0,2,31,34,0,Not_Placed
S00130,58,96,5.9,0,52,43,80,80,47,77,62,60,58,5,68,0,1,5,89,2,1,Service_Ready
S00131,64,75,6.13,0,76,85,93,35,70,58,95,59,57,3,78,9,2,2,82,33,1,Product_Ready
S00132,61,75,6.24,0,34,98,33,46,59,77,47,45,82,1,44,7,1,2,91,34,0,Not_Placed
S00133,96,89,5.97,0,69,62,38,88,70,30,31,93,27,7,60,3,0,4,91,10,0,Not_Placed
S00134,69,94,7.84,0,89,31,21,26,99,22,22,46,59,5,52,0,2,4,51,5,1,Service_Ready
S00135,84,60,9.85,1,28,31,30,65,35,20,82,40,49,4,53,3,3,5,78,28,0,Not_Placed
S00136,59,79,5.92,0,39,53,45,24,80,28,69,25,79,3,30,1,2,3,92,22,0,Not_Placed
S00137,78,88,9.19,1,49,40,47,81,52,54,71,53,60,2,66,1,1,2,76,24,0,Not_Placed
S00138,76,71,9.29,0,34,54,52,35,53,85,59,47,66,6,89,8,3,3,20,9,0,Not_Placed
S00139,77,57,8.62,0,57,34,82,40,76,72,65,33,95,0,58,8,2,3,96,16,1,Service_Ready
S00140,72,87,9.43,0,78,65,57,33,91,81,54,38,49,6,97,3,0,0,59,25,0,Not_Placed
S00141,68,80,9.85,0,70,22,61,38,92,47,64,90,97,6,92,6,0,3,38,15,1,Service_Ready
S00142,92,90,5.93,0,83,52,71,33,94,72,78,97,60,3,87,7,1,0,60,17,1,Service_Ready
S00143,83,84,7.43,0,69,40,88,67,39,86,63,52,92,4,28,3,2,0,84,9,1,Service_Ready
S00144,77,94,6.93,0,66,34,38,45,71,41,40,70,57,3,48,2,3,3,47,5,1,Service_Ready
S00145,76,66,7.69,0,85,53,74,20,91,57,25,44,36,4,31,5,1,2,27,20,0,Not_Placed
S00146,96,55,7.53,0,59,33,54,67,75,68,32,80,68,5,81,7,2,3,58,22,1,Service_Ready
S00147,96,97,5.7,0,56,68,60,36,40,70,78,58,74,0,58,2,2,4,65,2,1,Service_Ready
S00148,94,73,7.35,2,31,80,52,64,88,27,44,65,49,4,66,6,0,3,37,3,0,Not_Placed
S00149,58,84,9.1,0,38,47,59,95,34,60,58,21,82,4,93,1,2,2,96,11,0,Not_Placed
S00150,68,72,6.12,0,58,47,22,89,46,21,57,22,35,5,59,1,0,0,31,2,0,Not_Placed
S00151,69,80,9.6,1,44,42,43,57,47,40,73,37,55,2,64,6,0,4,49,33,0,Not_Placed
S00152,57,57,9.36,2,82,42,94,67,51,76,52,43,58,1,75,4,2,3,56,2,1,Service_Ready
S00153,55,74,7.03,0,37,54,62,30,68,57,83,88,27,1,67,3,3,3,84,32,0,Not_Placed
S00154,58,59,6.53,3,86,94,64,23,45,46,65,83,70,1,25,4,1,1,56,24,0,Not_Placed
S00155,60,58,9.98,0,48,96,78,66,36,41,87,88,56,0,68,1,0,5,72,24,0,Not_Placed
S00156,57,96,9.22,0,65,40,63,30,87,20,82,43,32,6,30,3,2,4,36,19,0,Not_Placed
S00157,94,76,8.06,0,56,27,47,24,36,55,38,83,30,5,64,5,0,5,30,29,0,Not_Placed
S00158,59,71,8.56,0,31,89,36,38,45,67,71,89,74,1,94,0,1,2,94,18,0,Not_Placed
S00159,68,81,7.33,1,23,26,54,67,92,91,64,91,38,6,57,2,2,4,32,32,0,Not_Placed
S00160,70,86,9.68,0,86,73,29,61,83,40,99,95,85,0,43,2,3,5,76,31,1,Service_Ready
S00161,89,73,6.4,3,90,49,26,86,84,55,44,56,20,6,56,7,3,4,79,10,0,Not_Placed
S00162,55,90,8.65,0,42,28,53,65,97,23,49,94,91,2,33,1,0,4,35,3,0,Not_Placed
S00163,94,71,7.75,1,35,79,85,85,32,75,50,53,58,2,27,6,1,5,74,28,1,Product_Ready
S00164,83,93,7.64,0,49,72,32,40,38,72,38,76,44,5,50,0,2,5,93,11,0,Not_Placed
S00165,90,62,8.0,0,33,69,47,72,43,98,41,49,82,3,96,6,3,1,31,32,0,Not_Placed
S00166,68,88,6.1,0,94,95,68,98,76,45,37,57,69,7,60,5,0,3,83,30,1,Service_Ready
S00167,82,65,9.22,0,28,46,53,63,87,34,70,32,68,5,75,2,0,0,77,24,0,Not_Placed
S00168,80,83,7.24,0,74,29,66,42,40,32,52,43,30,0,87,8,1,0,40,21,0,Not_Placed
S00169,73,73,8.4,0,67,47,60,66,37,97,90,32,32,3,50,1,3,0,92,12,0,Not_Placed
S00170,76,87,9.08,1,53,28,27,26,55,37,22,47,89,3,63,4,3,5,73,2,1,Service_Ready
S00171,90,75,6.79,0,76,68,73,29,72,63,66,72,93,5,32,4,1,1,33,11,1,Service_Ready
S00172,89,79,8.81,0,31,73,43,48,62,44,79,84,47,7,66,0,3,3,77,13,0,Not_Placed
S00173,81,96,8.97,1,53,56,25,26,44,52,74,77,26,3,76,4,3,4,26,10,0,Not_Placed
S00174,86,65,9.23,0,91,64,78,23,86,48,48,47,96,6,63,9,3,1,28,6,1,Service_Ready
S00175,86,74,7.95,2,47,41,36,78,90,76,45,44,29,2,64,2,2,4,72,9,0,Not_Placed
S00176,94,58,7.25,0,84,68,66,71,73,79,76,66,50,0,65,1,1,0,24,21,1,Service_Ready
S00177,95,65,5.7,0,57,46,34,80,40,65,88,25,57,5,81,1,1,1,65,14,1,Service_Ready
S00178,85,84,8.02,1,27,63,52,94,96,69,30,47,89,0,35,3,2,3,67,27,0,Not_Placed
S00179,66,65,7.57,2,74,45,25,23,48,78,36,62,99,1,53,6,3,4,27,31,1,Service_Ready
S00180,86,90,6.61,0,58,78,63,28,56,93,55,47,61,6,62,4,3,1,85,9,1,Service_Ready
S00181,81,76,7.43,0,86,32,64,29,28,73,46,53,20,7,90,0,2,3,39,31,0,Not_Placed
S00182,89,89,9.78,0,97,36,37,64,72,87,84,20,77,1,39,3,2,1,78,12,1,Service_Ready
S00183,95,95,6.53,2,41,60,87,88,30,75,70,40,95,1,38,6,2,1,59,6,0,Not_Placed
S00184,75,68,9.01,0,34,27,60,38,65,47,87,34,56,0,86,7,2,4,55,30,0,Not_Placed
S00185,78,78,8.45,0,76,68,72,42,88,72,81,60,76,4,79,5,1,4,76,11,1,Service_Ready
S00186,94,61,6.42,0,22,70,66,87,95,57,55,60,88,4,77,1,1,5,44,28,0,Not_Placed
S00187,68,90,9.93,1,73,40,91,35,78,50,61,93,51,2,53,8,0,2,29,23,1,Service_Ready
S00188,71,58,9.77,0,40,84,82,70,55,85,34,58,89,0,42,9,2,4,76,18,0,Not_Placed
S00189,88,95,6.38,0,25,71,22,82,68,95,66,74,83,0,86,9,2,3,51,33,0,Not_Placed
S00190,58,72,5.57,1,54,97,77,52,33,53,80,23,78,4,25,8,0,0,59,20,1,Service_Ready
S00191,55,59,8.73,1,32,83,81,38,95,99,62,93,39,6,87,6,1,5,76,9,1,Product_Ready
S00192,61,68,8.31,0,35,70,99,91,31,72,94,24,46,3,36,5,0,4,76,29,1,Product_Ready
S00193,68,59,5.81,1,81,69,38,88,85,66,58,87,52,4,73,6,2,5,38,30,1,Service_Ready
S00194,74,83,6.96,2,76,27,81,48,93,36,85,25,77,4,47,8,0,1,60,28,0,Not_Placed
S00195,66,61,6.69,0,54,99,21,43,93,57,41,45,62,6,58,5,3,2,60,21,1,Service_Ready
S00196,73,74,5.91,0,72,53,41,86,25,98,46,29,92,0,67,5,0,2,78,3,1,Service_Ready
S00197,83,58,9.76,0,29,72,98,78,41,70,67,40,41,3,49,8,0,3,84,5,1,Product_Ready
S00198,61,63,7.53,2,55,92,65,51,51,25,67,57,36,1,46,5,1,2,44,29,0,Not_Placed
S00199,69,58,7.45,0,45,38,36,62,60,61,69,59,58,0,42,3,2,0,88,12,0,Not_Placed
S00200,57,87,8.53,0,67,29,57,38,55,78,82,96,65,2,93,5,0,2,27,18,1,Service_Ready
S00201,63,60,9.1,0,79,47,73,56,28,75,78,21,80,1,79,5,1,3,56,16,1,Service_Ready
S00202,82,72,9.21,0,30,77,76,96,23,26,80,73,87,3,98,0,2,2,97,2,1,Product_Ready
S00203,92,92,6.0,0,93,40,90,86,66,54,87,88,20,3,31,7,1,0,40,25,0,Not_Placed
S00204,79,86,9.14,1,68,77,58,99,80,28,25,54,58,5,60,5,0,1,95,24,1,Service_Ready
S00205,70,57,7.37,0,92,48,56,32,51,65,42,64,36,6,85,4,1,3,37,31,0,Not_Placed
S00206,76,87,7.05,0,51,61,97,29,55,53,92,47,30,5,58,6,2,5,38,16,0,Not_Placed
S00207,82,78,8.27,0,66,52,81,38,86,93,59,66,84,4,69,1,2,4,20,30,1,Service_Ready
S00208,67,83,7.48,3,36,90,32,88,45,68,86,26,77,0,72,0,0,5,36,26,0,Not_Placed
S00209,57,69,9.49,0,45,35,44,73,47,92,75,84,99,0,70,5,0,5,48,20,0,Not_Placed
S00210,73,56,7.32,0,30,72,65,49,76,37,70,67,85,7,27,5,1,3,76,16,0,Not_Placed
S00211,82,72,7.19,1,98,39,83,86,22,73,97,83,59,2,74,3,2,3,94,32,1,Service_Ready
S00212,97,86,5.54,0,81,68,28,50,80,98,67,44,55,7,92,9,1,4,64,33,1,Service_Ready
S00213,71,89,8.52,0,48,78,90,28,25,48,77,36,35,6,22,4,3,1,55,23,1,Product_Ready
S00214,96,66,7.63,0,73,35,27,78,76,59,78,21,95,1,63,0,1,1,69,13,1,Service_Ready
S00215,80,77,8.47,1,81,57,86,57,86,80,20,64,47,4,32,3,2,5,93,16,0,Not_Placed
S00216,69,58,7.58,3,95,52,47,27,20,56,82,41,89,4,40,2,2,4,79,7,0,Not_Placed
S00217,79,94,8.81,0,96,37,21,27,94,73,57,67,46,3,31,9,2,4,54,32,0,Not_Placed
S00218,69,70,7.35,0,94,78,40,73,94,49,67,54,57,6,97,7,1,0,51,16,1,Service_Ready
S00219,97,89,9.72,0,29,44,87,80,48,38,62,85,93,4,62,8,3,2,43,12,0,Not_Placed
S00220,88,82,7.87,0,70,40,31,69,23,61,57,44,33,2,51,1,2,5,94,22,0,Not_Placed
S00221,59,77,8.61,0,73,93,41,84,83,90,23,84,34,7,95,5,1,1,66,18,0,Not_Placed
S00222,83,68,5.77,0,52,78,62,98,31,59,39,57,22,3,75,9,1,4,96,3,0,Not_Placed
S00223,91,92,8.39,0,94,91,59,62,41,39,27,48,59,1,49,0,3,3,74,17,1,Service_Ready
S00224,97,61,7.76,3,75,67,46,72,92,54,70,56,76,7,98,4,1,5,39,13,0,Not_Placed
S00225,71,96,9.72,0,30,69,90,77,53,39,69,29,51,3,34,4,3,2,56,9,0,Not_Placed
S00226,94,77,9.09,0,27,75,79,29,58,47,68,55,32,7,55,4,1,5,23,32,1,Product_Ready
S00227,72,92,9.39,0,41,21,50,30,65,81,88,83,29,7,43,2,3,3,81,24,0,Not_Placed
S00228,71,55,7.57,0,76,74,72,75,28,41,32,67,37,2,95,7,0,1,34,16,1,Product_Ready
S00229,93,67,9.95,1,39,96,99,92,82,95,63,57,79,6,67,1,3,3,78,26,1,Product_Ready
S00230,86,94,6.38,2,25,96,79,33,73,23,58,91,44,4,51,5,2,5,72,31,1,Product_Ready
S00231,57,82,7.71,0,99,41,57,91,91,81,76,25,97,7,29,2,3,2,95,32,1,Service_Ready
S00232,83,59,6.29,0,60,50,41,23,32,64,61,68,39,3,96,0,1,3,20,16,0,Not_Placed
S00233,67,71,6.82,0,42,65,91,27,78,78,32,58,47,0,80,6,1,5,36,31,0,Not_Placed
S00234,93,67,8.96,0,32,62,40,74,59,34,92,71,93,3,72,6,3,3,49,34,0,Not_Placed
S00235,63,55,9.08,1,99,28,51,34,31,97,76,27,91,2,81,0,2,1,81,12,1,Service_Ready
S00236,93,97,8.43,0,59,42,75,25,69,56,83,73,91,0,68,2,2,2,68,22,1,Service_Ready
S00237,56,94,9.7,0,36,25,38,75,47,85,57,56,87,5,68,3,1,4,71,33,0,Not_Placed
S00238,71,95,7.06,0,77,75,47,20,61,67,59,82,95,7,99,1,3,5,46,10,1,Service_Ready
S00239,70,66,6.73,0,44,53,86,43,92,45,39,83,29,2,86,7,0,2,77,28,0,Not_Placed
S00240,70,69,7.58,1,63,45,66,53,69,31,23,67,74,7,20,5,0,1,49,4,1,Service_Ready
S00241,75,79,9.38,1,81,57,34,71,98,65,44,40,24,5,66,6,3,2,37,22,0,Not_Placed
S00242,82,89,8.05,0,86,59,29,71,91,94,80,83,24,1,72,6,0,2,88,10,0,Not_Placed
S00243,56,55,8.65,0,30,95,58,96,91,82,83,80,73,3,92,6,2,1,75,32,0,Not_Placed
S00244,79,66,7.86,0,20,84,82,73,61,40,98,41,57,2,99,7,1,0,36,27,1,Product_Ready
S00245,67,71,9.26,0,64,25,54,33,91,80,34,73,46,4,50,4,3,2,79,7,0,Not_Placed
S00246,59,76,5.84,0,53,45,66,24,39,25,89,78,83,1,37,3,0,0,33,15,1,Service_Ready
S00247,67,61,7.38,0,38,82,54,54,38,39,54,51,67,3,43,0,2,2,69,2,0,Not_Placed
S00248,89,86,8.88,0,33,56,98,87,59,78,99,35,81,3,64,9,3,4,85,32,0,Not_Placed
S00249,57,62,7.76,0,92,64,85,27,90,76,99,49,93,5,37,1,0,4,58,24,1,Service_Ready
