student_id,years_since_placement,current_designation,current_company,current_ctc_lpa,promotions_count,switched_domain,switched_company
S03258,4,Lead Software Engineer,Razorpay,18.09,3,True,True
S03958,4,Data Science Lead,Accenture,16.82,3,False,False
S03618,4,Consultant,Salesforce,16.56,1,False,True
S03427,4,Senior Software Engineer,Accenture,16.12,2,False,False
S01296,1,Associate Software Engineer,Atlassian,42.74,0,False,False
S01662,5,Staff Software Engineer,Salesforce,24.03,4,False,True
S01657,2,Senior Consultant,Amazon,72.96,2,False,False
S03607,2,Cloud Engineer,TCS,13.56,1,False,True
S03842,2,Consultant,Accenture,13.25,1,False,False
S00686,4,Systems Engineer,Microsoft,16.33,1,False,True
S04153,5,Engineering Manager,Paytm,17.6,4,False,True
S01143,3,Lead Software Engineer,Infosys,18.07,3,False,False
S03814,2,Associate Software Engineer,Salesforce,11.82,0,True,True
S03334,3,Senior Data Analyst,Amazon,18.86,2,False,True
S02667,2,Systems Engineer,Infosys,9.9,1,False,False
S00171,2,Data Analyst,LTI Mindtree,12.2,1,False,False
S02639,2,Cloud Engineer,TCS,12.48,1,False,False
S01430,1,Associate Analyst,Atlassian,12.16,0,False,True
S03076,3,Senior Consultant,Zomato,18.51,2,True,True
S01268,3,Consultant,Uber,15.1,1,False,True
S02311,1,Associate Analyst,Infosys,8.83,0,True,False
S00066,5,Staff Software Engineer,Adobe,24.4,4,False,True
S03755,4,Senior Consultant,Microsoft,18.83,2,True,True
S00488,1,Junior DevOps Engineer,LTI Mindtree,9.4,0,False,False
S03717,2,Associate Software Engineer,Capgemini,13.56,0,False,True
S04854,3,Senior DevOps Engineer,LTI Mindtree,14.3,2,False,False
S01857,3,Consultant,LTI Mindtree,66.02,1,False,True
S02985,1,Associate Analyst,Amazon,49.22,0,False,False
S02599,5,DevOps Architect,Infosys,19.31,3,False,False
S02627,3,Senior DevOps Engineer,Cognizant,17.2,2,False,False
S02655,4,Data Analyst,Oracle,18.9,1,True,True
S00650,2,Consultant,Microsoft,57.24,1,False,False
S02153,4,Systems Engineer,Atlassian,97.04,1,True,True
S02544,1,Systems Engineer,Accenture,10.16,1,True,False
S03296,4,Senior DevOps Engineer,Infosys,16.58,2,False,False
S00128,3,Senior Consultant,LTI Mindtree,17.78,2,False,True
S00704,4,Data Science Lead,Paytm,18.13,3,False,True
S03192,2,Consultant,Cognizant,11.94,1,True,False
S02829,5,Lead Software Engineer,Infosys,18.65,3,False,False
S02889,4,Senior Software Engineer,Atlassian,17.06,2,False,True
S03063,1,Associate Analyst,Accenture,9.02,0,False,False
S01160,4,Senior DevOps Engineer,Cognizant,17.98,2,False,False
S02615,3,Cloud Engineer,Google,14.46,1,False,True
S01076,3,Systems Engineer,Wipro,15.46,1,True,False
S03906,2,Associate Software Engineer,Flipkart,62.91,0,False,True
S01264,1,Associate Software Engineer,TCS,9.51,0,True,False
S00555,5,Engineering Manager,Microsoft,23.16,4,False,True
S01842,2,Data Analyst,Wipro,11.75,1,False,False
S03335,5,Lead Software Engineer,TCS,23.05,3,False,True
S03386,2,Systems Engineer,Cisco,59.76,1,False,False
S01961,3,Senior Consultant,Razorpay,17.38,2,False,True
S03646,2,Cloud Engineer,Wipro,12.53,1,True,False
S03797,3,Systems Engineer,TCS,16.52,1,False,True
S00731,5,Staff Software Engineer,Flipkart,19.92,4,False,True
S02767,3,Senior DevOps Engineer,Accenture,16.9,2,True,False
S04404,4,DevOps Architect,Accenture,20.26,3,False,True
S00676,2,Senior Software Engineer,Oracle,16.72,2,False,True
S00458,2,Software Engineer,Flipkart,70.74,1,False,True
S00312,3,Consultant,Uber,15.83,1,False,True
S00588,2,Associate Analyst,Infosys,12.0,0,True,False
S03044,3,Data Analyst,LTI Mindtree,14.64,1,False,False
S03594,2,Associate Analyst,Wipro,10.6,0,True,False
S03301,2,Graduate Trainee Engineer,Cognizant,10.7,0,False,False
S01740,2,Associate Analyst,Swiggy,13.28,0,False,True
S00774,2,Systems Engineer,TCS,15.14,1,False,True
S00236,1,Associate Software Engineer,Infosys,10.22,0,True,False
S02339,5,Senior DevOps Engineer,Swiggy,112.41,2,False,True
S00554,4,Consultant,Capgemini,17.63,1,False,True
S04282,3,Software Engineer,Cisco,12.49,1,False,True
S02150,4,Senior Software Engineer,Amazon,88.01,2,False,True
S01140,5,Technical Lead,Capgemini,22.94,3,False,True
S03294,3,Senior DevOps Engineer,Amazon,17.34,2,True,True
S01785,1,Associate Software Engineer,Paytm,12.82,0,False,True
S02249,2,Consultant,Cognizant,10.48,1,True,False
S02155,1,Software Engineer,Google,12.26,1,True,True
S01915,2,Senior Consultant,Adobe,64.01,2,False,False
S01845,5,Engineering Manager,Oracle,109.33,4,False,True
S01546,1,Associate Analyst,Infosys,10.53,0,True,False
S04067,3,Senior Consultant,Adobe,86.52,2,False,True
S00605,1,Systems Engineer,TCS,10.91,1,False,False
S04399,4,Senior DevOps Engineer,Swiggy,18.32,2,False,True
S04613,1,Cloud Engineer,Microsoft,53.44,1,True,False
S01034,2,Data Analyst,Infosys,13.14,1,False,False
S04747,3,Software Engineer,LTI Mindtree,14.06,1,True,False
S03936,1,Associate Software Engineer,Uber,53.21,0,False,False
S00283,1,Junior DevOps Engineer,LTI Mindtree,9.38,0,True,False
S02016,1,Graduate Trainee Engineer,Paytm,11.3,0,True,True
S02404,4,Senior Data Analyst,Microsoft,96.64,2,False,True
S02971,5,Senior Software Engineer,Capgemini,20.12,2,False,True
S00141,3,Senior Software Engineer,Amazon,18.32,2,False,True
S04357,3,Senior DevOps Engineer,Flipkart,89.1,2,False,True
S02375,1,Associate Analyst,Flipkart,12.32,0,True,True
S01370,2,Systems Engineer,TCS,11.09,1,False,False
S01401,4,Senior DevOps Engineer,Paytm,16.98,2,False,True
S03025,1,Associate Software Engineer,Flipkart,12.61,0,True,True
S02235,4,Senior Consultant,Flipkart,18.21,2,False,True
S04195,3,Consultant,TCS,15.47,1,False,True
S00530,2,Systems Engineer,TCS,11.62,1,False,False
S04720,5,Lead Software Engineer,Zomato,22.67,3,True,True
S03223,1,Graduate Trainee Engineer,Infosys,9.68,0,True,False
S03596,3,Systems Engineer,LTI Mindtree,13.72,1,False,False
S00437,3,Data Analyst,Accenture,13.72,1,False,False
S03486,2,Data Analyst,Cognizant,11.69,1,False,False
S02622,2,Software Engineer,Wipro,14.03,1,False,False
S03729,2,Associate Analyst,Salesforce,12.94,0,True,True
S03057,1,Associate Software Engineer,Wipro,9.81,0,True,False
S04377,2,Cloud Engineer,Accenture,10.7,1,False,False
S01995,3,Senior Data Analyst,Microsoft,17.83,2,False,True
S03550,2,Software Engineer,Cognizant,12.16,1,False,False
S03401,1,Consultant,Google,52.19,1,True,False
S04472,2,Software Engineer,Accenture,11.84,1,False,False
S04635,3,Senior DevOps Engineer,TCS,17.09,2,False,True
S02775,3,Systems Engineer,Wipro,14.49,1,False,True
S03743,3,Senior Consultant,Capgemini,17.67,2,False,True
S01419,1,Graduate Trainee Engineer,Infosys,10.43,0,False,False
S01150,5,Technical Lead,Paytm,25.84,3,False,True
S00176,3,Senior Data Analyst,Accenture,14.64,2,False,False
S02635,1,Graduate Trainee Engineer,Razorpay,11.07,0,False,True
S00636,5,Principal Architect,Google,107.52,4,False,True
S02947,4,DevOps Architect,Flipkart,17.92,3,False,True
S04411,3,Software Engineer,TCS,15.11,1,False,False
S00583,2,Systems Engineer,Microsoft,14.56,1,False,True
S01551,4,Cloud Engineer,Cisco,19.71,1,False,True
S04709,3,Systems Engineer,Google,72.58,1,True,False
S04171,2,Cloud Engineer,Uber,57.55,1,False,False
S01127,2,Data Analyst,TCS,12.68,1,False,False
S04960,2,Junior DevOps Engineer,Amazon,61.36,0,False,False
S04634,2,Associate Analyst,Adobe,13.08,0,False,True
S03216,4,Senior DevOps Engineer,LTI Mindtree,89.77,2,True,True
S04983,2,Junior DevOps Engineer,TCS,10.69,0,False,False
S03004,1,Consultant,Infosys,11.54,1,False,False
S02740,3,Data Science Lead,Wipro,16.87,3,False,True
S03771,3,Senior DevOps Engineer,TCS,12.68,2,True,False
S03791,4,Systems Engineer,Paytm,15.93,1,False,True
S03465,3,Data Analyst,Microsoft,16.06,1,False,True
S00235,5,Technical Lead,Salesforce,22.03,3,False,True
S02359,1,Junior DevOps Engineer,TCS,8.62,0,False,False
S04001,1,Associate Analyst,Adobe,45.34,0,False,False
S01887,3,Senior Data Analyst,Google,66.7,2,False,False
S00677,1,Associate Analyst,Google,45.35,0,False,False
S00931,4,Data Science Lead,Capgemini,18.05,3,False,True
S03089,5,DevOps Architect,Oracle,20.61,3,True,True
S02148,1,Graduate Trainee Engineer,Razorpay,11.25,0,False,True
S03500,2,Systems Engineer,Accenture,10.83,1,False,False
S02876,3,Senior Consultant,Atlassian,17.53,2,False,True
S00301,4,Data Analyst,Amazon,20.31,1,False,True
S02041,2,Graduate Trainee Engineer,Flipkart,12.22,0,False,True
S03173,2,Consultant,Microsoft,12.46,1,False,True
S01942,3,Data Analyst,Atlassian,14.52,1,True,True
S01577,2,Software Engineer,Cognizant,68.63,1,False,True
S03820,2,Associate Analyst,Zomato,11.68,0,False,True
S01033,3,Senior DevOps Engineer,Uber,74.06,2,False,False
S03979,2,Data Analyst,TCS,12.5,1,False,False
S03616,3,Consultant,LTI Mindtree,13.72,1,False,False
S00166,4,Senior Consultant,Wipro,16.45,2,True,False
S01709,1,Junior DevOps Engineer,Microsoft,11.72,0,False,True
S00942,5,Data Science Lead,Paytm,19.6,3,False,True
S02358,5,Data Science Lead,Cognizant,22.52,3,False,True
S01494,1,Associate Software Engineer,Atlassian,47.44,0,False,False
S04554,4,Data Science Lead,Paytm,22.79,3,False,True
S02350,4,Senior Consultant,Uber,16.54,2,False,True
S02241,2,Data Analyst,TCS,10.55,1,False,False
S04922,1,Graduate Trainee Engineer,Cisco,52.48,0,False,False
S04777,3,Senior Consultant,Accenture,13.95,2,False,False
S00886,3,Software Engineer,TCS,17.17,1,False,True
S04300,2,Software Engineer,Amazon,11.19,1,False,True
S03417,5,Technical Lead,Adobe,95.5,3,True,False
S04062,5,Senior Consultant,Razorpay,24.31,2,False,True
S04533,4,Senior DevOps Engineer,Google,18.25,2,False,True
S03316,2,Systems Engineer,Zomato,15.45,1,False,True
S00571,1,Associate Analyst,Amazon,45.91,0,False,False
S00708,3,Senior Data Analyst,Amazon,73.39,2,False,False
S01056,2,Cloud Engineer,Atlassian,15.21,1,False,True
S01802,1,Graduate Trainee Engineer,Infosys,10.92,0,True,False
S00439,1,Junior DevOps Engineer,Amazon,46.29,0,False,False
S02884,1,Junior DevOps Engineer,Infosys,9.54,0,False,False
S00492,1,Associate Analyst,Amazon,46.79,0,False,False
S03800,1,Associate Software Engineer,Accenture,10.32,0,False,False
S02432,5,DevOps Architect,Paytm,16.92,3,False,True
S04010,3,Data Analyst,Infosys,13.86,1,False,False
S00327,3,DevOps Architect,Cognizant,16.28,3,False,False
S00229,4,Senior Consultant,Paytm,92.95,2,False,True
S04788,2,Cloud Engineer,Microsoft,52.72,1,True,False
S03241,2,Associate Analyst,Capgemini,12.35,0,True,True
S03209,4,Senior Consultant,LTI Mindtree,89.95,2,True,True
S00863,3,Systems Engineer,Cisco,15.64,1,False,True
S00445,2,Senior DevOps Engineer,Atlassian,70.97,2,False,True
S03626,5,Senior Software Engineer,Accenture,16.85,2,True,False
S01155,3,Software Engineer,Microsoft,14.79,1,False,True
S03672,1,Graduate Trainee Engineer,Wipro,9.79,0,False,False
S02893,2,Associate Analyst,Infosys,10.74,0,False,False
S01210,2,Consultant,Adobe,13.67,1,False,True
S03103,3,Senior Consultant,Capgemini,14.85,2,False,False
S02827,2,Systems Engineer,Oracle,15.04,1,False,True
S04530,2,Software Engineer,Amazon,59.71,1,False,False
S03341,1,Associate Analyst,TCS,9.63,0,False,False
S03940,3,Cloud Engineer,Amazon,75.09,1,False,False
S00484,5,Senior DevOps Engineer,TCS,19.62,2,False,False
S04948,3,Systems Engineer,Amazon,65.03,1,False,False
S02538,3,Senior Software Engineer,Accenture,14.53,2,True,False
S01683,5,Senior Technical Lead,Capgemini,22.95,4,False,True
S03803,2,Associate Software Engineer,Google,14.09,0,True,True
S03781,3,Senior DevOps Engineer,Wipro,15.57,2,False,False
S02471,2,Associate Software Engineer,Accenture,10.32,0,True,False
S01552,1,Consultant,Wipro,11.15,1,True,False
S01964,5,Lead Software Engineer,Google,111.2,3,False,False
S00508,1,Junior DevOps Engineer,Microsoft,11.81,0,False,True
S04559,2,Software Engineer,Infosys,77.08,1,False,True
S00543,1,Associate Analyst,Google,47.18,0,False,False
S04510,1,Junior DevOps Engineer,Adobe,63.36,0,False,True
S04937,1,Junior DevOps Engineer,Wipro,8.77,0,True,False
S04771,5,Senior Data Analyst,Zomato,21.13,2,False,True
S02577,3,Senior Software Engineer,Uber,16.26,2,True,True
S04917,5,Senior Data Analyst,Swiggy,22.49,2,False,True
S04752,3,Senior Consultant,Cognizant,14.63,2,False,False
S02864,4,Senior DevOps Engineer,Microsoft,80.86,2,False,False
S03847,1,Graduate Trainee Engineer,Cognizant,9.13,0,False,False
S00028,2,Consultant,Infosys,11.65,1,False,False
S02427,4,Data Analyst,Infosys,78.42,1,True,True
S04330,1,Associate Software Engineer,TCS,9.36,0,False,False
S03765,4,Consultant,Cognizant,16.86,1,False,True
S01661,4,Senior Consultant,Zomato,97.21,2,False,True
S00998,2,Cloud Engineer,Swiggy,13.97,1,False,True
S01799,2,Associate Analyst,Adobe,50.77,0,True,False
S03609,3,Senior DevOps Engineer,TCS,17.89,2,False,False
S01822,4,Senior Data Analyst,Amazon,89.18,2,False,True
S02747,2,Associate Software Engineer,Infosys,10.31,0,True,False
S01013,1,Consultant,Cognizant,11.02,1,False,False
S03247,2,Software Engineer,Google,59.04,1,False,False
S02044,2,Data Analyst,Cognizant,9.48,1,False,False
S01020,5,Senior Data Analyst,Oracle,17.65,2,False,True
S00835,2,Cloud Engineer,Infosys,12.06,1,False,False
S02384,1,Associate Analyst,Infosys,10.59,0,False,False
S01713,1,Associate Analyst,LTI Mindtree,9.3,0,True,False
S04302,4,Senior Data Analyst,Uber,20.6,2,False,True
S03744,2,Associate Software Engineer,TCS,10.97,0,False,False
S04494,1,Associate Software Engineer,TCS,9.2,0,False,False
S02408,2,Cloud Engineer,TCS,13.36,1,False,False
S04966,4,Senior Data Analyst,Paytm,18.3,2,False,True
S00284,1,Junior DevOps Engineer,Wipro,10.66,0,False,False
S03298,2,Cloud Engineer,Cognizant,14.53,1,True,True
S03878,3,Senior Data Analyst,Oracle,18.03,2,False,True
S02526,3,Consultant,Wipro,15.5,1,False,False
S02706,4,Senior Consultant,LTI Mindtree,108.95,2,False,True
S02994,1,Graduate Trainee Engineer,Capgemini,10.06,0,False,False
S02289,5,Data Science Lead,Adobe,100.29,3,True,True
S00270,3,Data Science Lead,Accenture,13.91,3,True,False
S04763,4,Senior Consultant,Cognizant,16.49,2,True,False
S04660,5,Senior Data Analyst,Accenture,16.49,2,False,False
S00741,1,Associate Software Engineer,Infosys,9.09,0,False,False
S02644,4,Senior Consultant,Paytm,17.97,2,False,True
S04344,1,Junior DevOps Engineer,Google,47.44,0,False,False
S01421,2,Associate Analyst,Wipro,13.03,0,True,True
S03561,3,Senior Consultant,Accenture,17.11,2,False,True
S02209,4,Data Analyst,Adobe,95.03,1,False,True
S01746,4,Senior Data Analyst,Paytm,21.17,2,True,True
S03094,3,Consultant,Atlassian,16.3,1,False,True
S03551,4,Lead Software Engineer,Razorpay,20.16,3,False,True
S03573,1,Data Analyst,Wipro,11.73,1,False,False
S03381,1,Associate Software Engineer,Infosys,8.36,0,False,False
S01152,3,Senior Consultant,Uber,15.29,2,False,True
S02713,2,Junior DevOps Engineer,Wipro,14.68,0,False,True
S03503,5,Lead Software Engineer,LTI Mindtree,98.87,3,True,True
S01860,3,Senior Software Engineer,TCS,13.55,2,False,True
S04515,3,Data Analyst,Accenture,16.27,1,False,True
S02262,2,Systems Engineer,Infosys,10.81,1,True,False
S04273,4,Senior Data Analyst,Zomato,94.65,2,False,True
S02180,2,Associate Software Engineer,TCS,61.66,0,False,True
S01682,3,Senior DevOps Engineer,Wipro,15.98,2,False,False
S01364,4,Lead Software Engineer,Adobe,17.75,3,False,True
S04268,1,Cloud Engineer,Google,53.25,1,False,False
S03999,2,Software Engineer,Capgemini,13.93,1,False,True
S01417,3,Cloud Engineer,Cognizant,15.35,1,False,True
S04275,3,Lead Software Engineer,Capgemini,15.22,3,False,False
S00806,3,Data Analyst,Flipkart,17.69,1,False,True
S04209,4,Systems Engineer,Capgemini,16.55,1,False,True
S03289,1,Data Analyst,Infosys,10.33,1,False,False
S00890,5,Technical Lead,Cisco,108.7,3,False,True
S02725,2,Senior Data Analyst,TCS,13.37,2,False,False
S02595,3,Consultant,Infosys,12.09,1,False,False
S02951,2,Junior DevOps Engineer,Wipro,12.55,0,False,False
S04433,4,Technical Lead,Amazon,22.43,3,True,True
S00160,1,Associate Software Engineer,Wipro,9.74,0,False,False
S03072,2,Senior Software Engineer,TCS,13.54,2,False,False
S02305,1,Associate Analyst,Cognizant,8.95,0,False,False
S02861,1,Junior DevOps Engineer,Wipro,9.47,0,False,False
S04009,4,Technical Lead,Cisco,20.96,3,False,True
S04076,3,Cloud Engineer,TCS,14.97,1,False,True
S04482,2,Associate Software Engineer,TCS,12.52,0,False,True
S02493,3,Software Engineer,LTI Mindtree,14.28,1,True,True
S02975,5,Senior Consultant,Atlassian,17.82,2,False,True
S02009,3,Senior Data Analyst,Cognizant,16.57,2,False,False
S04947,2,Senior DevOps Engineer,Zomato,73.16,2,False,True
S04056,2,Data Analyst,Accenture,13.47,1,True,False
S01064,1,Associate Software Engineer,Accenture,9.67,0,False,False
S02063,4,Technical Lead,Paytm,16.73,3,False,True
S02501,1,Associate Software Engineer,Cognizant,8.82,0,True,False
S03367,5,DevOps Architect,Cognizant,21.24,3,False,False
S01248,2,Software Engineer,Uber,53.21,1,False,False
S00050,4,Senior DevOps Engineer,Wipro,17.43,2,False,False
S02458,3,Senior Software Engineer,Uber,19.02,2,False,True
S03730,4,Senior Data Analyst,Infosys,20.26,2,False,False
S00463,2,Systems Engineer,TCS,12.97,1,False,False
S00126,1,Graduate Trainee Engineer,Cognizant,11.44,0,False,True
S00416,4,Senior DevOps Engineer,Zomato,19.13,2,False,True
S01396,3,Consultant,TCS,13.36,1,False,False
S00997,2,Associate Software Engineer,Capgemini,10.23,0,False,False
S02095,3,Cloud Engineer,Oracle,14.96,1,False,True
S02318,3,Senior DevOps Engineer,Adobe,69.41,2,True,False
S02901,2,Data Analyst,Capgemini,12.73,1,True,True
S01341,3,Senior Consultant,LTI Mindtree,13.91,2,False,False
S01092,1,Associate Analyst,LTI Mindtree,10.68,0,True,False
S00179,4,Software Engineer,Google,19.62,1,False,True
S04850,3,Data Analyst,Infosys,12.43,1,False,False
S04320,4,Senior Software Engineer,Cognizant,16.45,2,False,False
S01041,1,Associate Software Engineer,Accenture,8.79,0,False,False
S01511,4,Data Analyst,Google,18.21,1,False,True
S01685,3,Systems Engineer,Zomato,14.39,1,False,True
S01936,3,Software Engineer,Flipkart,17.14,1,False,True
S04704,2,Consultant,TCS,12.28,1,False,False
S02634,4,Senior Consultant,Razorpay,20.21,2,False,True
S03344,1,Junior DevOps Engineer,TCS,9.16,0,False,False
S02797,2,Junior DevOps Engineer,TCS,12.13,0,True,False
S02484,4,Technical Lead,Google,71.23,3,False,False
S00996,3,Senior Data Analyst,Oracle,19.66,2,False,True
S00593,3,Senior Software Engineer,Cognizant,14.09,2,True,False
S02430,3,Senior Consultant,Cognizant,13.55,2,False,False
S04651,1,Associate Analyst,TCS,9.37,0,False,False
S04837,4,Senior Software Engineer,Capgemini,21.31,2,True,True
S01310,1,Graduate Trainee Engineer,TCS,10.22,0,True,False
S03792,2,Systems Engineer,Swiggy,15.18,1,False,True
S00042,3,Systems Engineer,Accenture,13.84,1,False,False
S03096,5,Senior DevOps Engineer,Cisco,20.87,2,False,True
S02602,5,DevOps Architect,TCS,19.76,3,False,False
S00927,3,Senior Software Engineer,Wipro,86.78,2,False,True
S02906,3,Senior DevOps Engineer,Salesforce,77.95,2,False,True
S01303,2,Software Engineer,TCS,15.76,1,False,True
S03400,2,Senior Software Engineer,Uber,59.96,2,False,False
S01459,2,Associate Analyst,TCS,9.13,0,False,False
S03282,5,Technical Lead,Microsoft,20.2,3,False,True
S01025,3,Senior Consultant,Uber,17.67,2,False,True
S01807,4,Senior Data Analyst,Wipro,20.07,2,False,True
S04596,5,Senior DevOps Engineer,Accenture,20.33,2,False,True
S01578,1,Software Engineer,Wipro,11.95,1,False,False
S04717,2,Software Engineer,Wipro,11.9,1,False,False
S02572,2,Graduate Trainee Engineer,Flipkart,14.6,0,False,True
S01042,5,Lead Software Engineer,Accenture,16.94,3,False,False
S00912,1,Junior DevOps Engineer,LTI Mindtree,10.88,0,False,False
S00628,1,Associate Software Engineer,TCS,10.6,0,False,False
S01142,3,Senior Software Engineer,Zomato,20.81,2,False,True
S01535,1,Associate Analyst,LTI Mindtree,58.84,0,True,True
S02197,2,Senior Consultant,Flipkart,15.51,2,False,True
S02611,3,Senior Software Engineer,TCS,14.97,2,False,False
S01181,1,Associate Analyst,Google,51.0,0,False,False
S01272,1,Software Engineer,Capgemini,9.16,1,False,False
S00054,5,Technical Lead,TCS,22.65,3,False,False
S03278,3,Senior DevOps Engineer,Cognizant,17.34,2,False,False
S00192,1,Graduate Trainee Engineer,Razorpay,56.09,0,False,True
S00885,2,Cloud Engineer,Accenture,12.43,1,False,False
S03280,3,Cloud Engineer,Adobe,14.32,1,False,True
S00072,1,Systems Engineer,Accenture,10.99,1,False,False
S01284,1,Associate Analyst,Infosys,9.4,0,False,False
S01503,3,Data Science Lead,TCS,17.53,3,False,False
S01894,4,DevOps Architect,Amazon,81.12,3,True,False
S02870,2,Junior DevOps Engineer,Accenture,73.47,0,False,True
S03414,2,Graduate Trainee Engineer,Wipro,9.37,0,False,False
S01959,2,Associate Analyst,Adobe,12.85,0,False,True
S00382,1,Graduate Trainee Engineer,TCS,8.36,0,False,False
S00472,1,Associate Software Engineer,LTI Mindtree,8.74,0,False,False
S02121,4,Senior Consultant,Microsoft,101.25,2,False,True
S04999,1,Cloud Engineer,LTI Mindtree,14.2,1,False,True
S01724,3,Senior Consultant,Accenture,16.1,2,True,False
S02592,4,Data Science Lead,LTI Mindtree,20.47,3,False,True
S00700,1,Graduate Trainee Engineer,TCS,10.01,0,False,False
S02282,4,Data Science Lead,Microsoft,17.58,3,False,True
S03514,4,Senior DevOps Engineer,Capgemini,78.54,2,False,True
S04974,3,Data Analyst,Adobe,15.06,1,False,True
S00453,3,Data Science Lead,TCS,20.5,3,True,True
S04984,1,Graduate Trainee Engineer,TCS,10.02,0,False,False
S02122,4,Consultant,Razorpay,16.9,1,True,True
S01762,2,Graduate Trainee Engineer,Capgemini,10.17,0,False,False
S02376,1,Junior DevOps Engineer,Microsoft,13.39,0,False,True
S04375,1,Associate Analyst,TCS,10.52,0,False,False
S04432,3,Senior Data Analyst,TCS,12.2,2,False,False
S03568,3,Software Engineer,TCS,14.11,1,False,False
S00505,3,Senior Consultant,TCS,17.52,2,True,False
S01451,4,Senior Data Analyst,Cognizant,108.72,2,False,True
S04935,2,Graduate Trainee Engineer,TCS,11.62,0,False,True
S00837,2,Junior DevOps Engineer,Wipro,11.25,0,True,False
S04585,2,Graduate Trainee Engineer,Amazon,49.28,0,True,False
S04730,3,Senior Consultant,Adobe,74.46,2,False,False
S01896,1,Cloud Engineer,TCS,11.14,1,False,False
S03960,2,Associate Software Engineer,Adobe,65.65,0,False,True
S03302,3,Software Engineer,Capgemini,14.25,1,False,False
S04424,5,Senior Software Engineer,Swiggy,23.01,2,False,True
S00144,2,Junior DevOps Engineer,Paytm,10.76,0,False,True
S00999,5,Senior Technical Lead,Wipro,110.79,4,False,True
S01935,1,Graduate Trainee Engineer,Infosys,8.49,0,False,False
S04213,4,Cloud Engineer,Microsoft,16.87,1,True,True
S01111,1,Systems Engineer,Adobe,53.92,1,False,False
S00182,2,Consultant,Paytm,16.68,1,False,True
S01514,4,Senior Consultant,Paytm,17.45,2,True,True
S04283,1,Junior DevOps Engineer,Google,50.17,0,True,False
S00380,4,Systems Engineer,Capgemini,85.09,1,False,True
S03068,3,Consultant,Infosys,13.7,1,False,False
S01418,2,Cloud Engineer,Infosys,13.42,1,False,False
S01068,1,Associate Analyst,Wipro,8.4,0,False,False
